COLLISION_ID,year,LATITUDE,LONGITUDE,NUMBER OF PERSONS KILLED
4443779,2021,40.72165,-73.886444,1.0
4442687,2021,40.68038,-73.80466,1.0
4442673,2021,40.677715,-73.93587,1.0
4441354,2021,40.738728,-73.812164,1.0
4440770,2021,40.759727000000005,-73.8455,1.0
4440769,2021,40.742059999999995,-73.82453000000001,1.0
4441449,2021,40.847794,-73.82670999999999,1.0
4442158,2021,40.65616,-73.76736,2.0
4439478,2021,40.826656,-73.8739,1.0
4439505,2021,40.647594,-73.97351,1.0
4438609,2021,40.703434,-73.91181,1.0
4437642,2021,40.677288,-73.92824,1.0
4436976,2021,40.737133,-73.99033,1.0
4436428,2021,40.726620000000004,-73.757324,1.0
4435874,2021,40.859093,-73.93745,1.0
4437506,2021,40.608253000000005,-74.08879,1.0
4443281,2021,40.646374,-74.01590999999999,1.0
4435311,2021,40.661384999999996,-73.8841,1.0
4435313,2021,40.659485,-73.918304,1.0
4433549,2021,40.6528,-73.86389,1.0
4433274,2021,40.819786,-73.91216,1.0
4433109,2021,40.758309999999994,-73.96294,1.0
4433548,2021,40.785294,-73.96934499999999,1.0
4432515,2021,40.676144,-73.893074,1.0
4432786,2021,40.637454999999996,-73.92886,1.0
4434120,2021,40.62788,-73.93251,1.0
4429676,2021,40.586315,-73.80653000000001,1.0
4430829,2021,40.839676000000004,-73.871216,1.0
4428754,2021,40.866046999999995,-73.87207,1.0
4430850,2021,40.675354,-73.952774,2.0
4428465,2021,40.74658,-73.99756,1.0
4427753,2021,40.899628,-73.84435,1.0
4427548,2021,40.71997,-73.99290500000001,1.0
4426623,2021,40.679363,-73.7973,1.0
4432163,2021,40.714622,-73.90117,1.0
4427132,2021,40.72416,-73.754974,1.0
4426252,2021,40.75979,-73.98793,1.0
4426253,2021,40.816615999999996,-73.89414000000001,1.0
4426256,2021,40.607178000000005,-73.91642,1.0
4425001,2021,40.77353,-73.98534000000001,1.0
4423679,2021,40.78322,-73.84586,1.0
4422826,2021,40.880534999999995,-73.83211999999999,1.0
4423067,2021,40.76015,-73.9988,1.0
4422373,2021,40.686085,-73.98266600000001,1.0
4421897,2021,40.83232,-73.87395,1.0
4422371,2021,40.681999999999995,-73.96866999999999,1.0
4422372,2021,40.74331,-73.87451,1.0
4421901,2021,40.777958,-73.90847,1.0
4421887,2021,40.820515,-73.930695,1.0
4420435,2021,40.839237,-73.94688000000001,1.0
4420310,2021,40.842514,-73.871544,1.0
4420041,2021,40.680687,-73.84459,2.0
4420981,2021,40.769283,-73.82445,1.0
4419561,2021,40.738457000000004,-73.93981,3.0
4419912,2021,40.639053000000004,-73.9213,1.0
4419608,2021,40.86808,-73.90858,2.0
4419564,2021,40.68651,-73.954544,1.0
4418820,2021,40.63926,-73.93777,1.0
4418336,2021,40.62897,-73.90323000000001,1.0
4417604,2021,40.720795,-73.94496,1.0
4417621,2021,40.71045,-73.95687,1.0
4417309,2021,40.748065999999994,-73.84918,1.0
4417575,2021,40.65461,-73.922,1.0
4415647,2021,40.664993,-73.80229,1.0
4415909,2021,40.715176,-73.951965,1.0
4415906,2021,40.505527,-74.23819,1.0
